xflr5 v6.58

Plane Name
T1-146.0 m/s-VLM1-Inviscid
QInf  =,  146.000000 ,m/s
Alpha = ,   8.000000
Beta  = ,   0.000°
Phi   = ,   0.000°
Ctrl  = ,   0.000
CL    = ,   0.976859
Cy    = ,  -0.000000
Cd=,   0.038759,ICd=,    0.038759,PCd=,    0.000000
Cl   = ,7.43526e-17
Cm   =,   -0.341853
ICn=,    0.000000,PCn=,    0.000000
XCP=,    0.349805, YCP=,    0.000000, ZCP=,    0.025511 
XNP=,    0.000000
Bending =, 89228.047653

Main Wing
  y-span,Chord,Ai,Cl,PCd,ICd,CmGeom,CmAirf@chord/4,XTrtop,XTrBot,XCP,BM
    2.2997,   1.0000, -2.210, 1.020100, 0.000000, 0.039456,-0.357237,-0.102212, 0.0000, 0.0000, 0.3466,13532.2087
    2.4014,   1.0000, -2.278, 1.009324, 0.000000, 0.040268,-0.354042,-0.101712, 0.0000, 0.0000, 0.3472,11752.3904
    2.5007,   1.0000, -2.352, 0.997649, 0.000000, 0.041102,-0.350565,-0.101153, 0.0000, 0.0000, 0.3478,10146.1121
    2.5975,   1.0000, -2.430, 0.985021, 0.000000, 0.041952,-0.346784,-0.100529, 0.0000, 0.0000, 0.3485,8703.9709
    2.6917,   1.0000, -2.514, 0.971379, 0.000000, 0.042811,-0.342678,-0.099833, 0.0000, 0.0000, 0.3492,7416.3408
    2.7833,   1.0000, -2.602, 0.956663, 0.000000, 0.043669,-0.338223,-0.099057, 0.0000, 0.0000, 0.3500,6273.4387
    2.8722,   1.0000, -2.696, 0.940808, 0.000000, 0.044517,-0.333395,-0.098193, 0.0000, 0.0000, 0.3508,5265.3901
    2.9582,   1.0000, -2.794, 0.923751, 0.000000, 0.045341,-0.328170,-0.097232, 0.0000, 0.0000, 0.3517,4382.2957
    3.0412,   1.0000, -2.897, 0.905424, 0.000000, 0.046128,-0.322520,-0.096163, 0.0000, 0.0000, 0.3526,3614.2978
    3.1213,   1.0000, -3.005, 0.885763, 0.000000, 0.046861,-0.316418,-0.094977, 0.0000, 0.0000, 0.3536,2951.6451
    3.1983,   1.0000, -3.118, 0.864703, 0.000000, 0.047523,-0.309839,-0.093663, 0.0000, 0.0000, 0.3547,2384.7575
    3.2722,   1.0000, -3.234, 0.842182, 0.000000, 0.048092,-0.302755,-0.092210, 0.0000, 0.0000, 0.3559,1904.2882
    3.3428,   1.0000, -3.355, 0.818141, 0.000000, 0.048548,-0.295142,-0.090607, 0.0000, 0.0000, 0.3571,1501.1836
    3.4101,   1.0000, -3.477, 0.792531, 0.000000, 0.048867,-0.286978,-0.088845, 0.0000, 0.0000, 0.3585,1166.7404
    3.4741,   1.0000, -3.602, 0.765307, 0.000000, 0.049026,-0.278242,-0.086915, 0.0000, 0.0000, 0.3599,892.6582
    3.5346,   1.0000, -3.728, 0.736438, 0.000000, 0.049001,-0.268921,-0.084812, 0.0000, 0.0000, 0.3615,671.0889
    3.5917,   1.0000, -3.854, 0.705908, 0.000000, 0.048771,-0.259007,-0.082530, 0.0000, 0.0000, 0.3633,494.6793
    3.6452,   1.0000, -3.977, 0.673719, 0.000000, 0.048319,-0.248501,-0.080071, 0.0000, 0.0000, 0.3652,356.6086
    3.6951,   1.0000, -4.097, 0.639895, 0.000000, 0.047632,-0.237414,-0.077441, 0.0000, 0.0000, 0.3674,250.6192
    3.7413,   1.0000, -4.210, 0.604489, 0.000000, 0.046709,-0.225774,-0.074652, 0.0000, 0.0000, 0.3698,171.0393
    3.7839,   1.0000, -4.316, 0.567591, 0.000000, 0.045565,-0.213625,-0.071728, 0.0000, 0.0000, 0.3727,112.7975
